code,name,industry,area,pe,totals,outstanding,totalAssets,liquidAssets,fixedAssets,reserved,reservedPerShare,esp,bvps,pb,timeToMarket
002143,印纪传媒,影视音像,四川,0,8997.95,110614.63,188528.16,120903.65,47205.05,13558.12,0.12,-0.015,2.16,8.48,20070720
600487,亨通光电,通信设备,江苏,25.96,31062.38,41375.64,1223671.25,799680.69,246961.91,176980.06,4.28,0.64,9.7,2.15,20030822
300304,云意电气,汽车配件,江苏,40.08,6400,20000,120278.88,86542.74,19926.11,54781.66,2.74,0.304,4.7,3.46,20120321
000626,如意集团,商贸代理,江苏,24.04,20229.75,20250,988070.88,947363.13,6814.06,3092.86,0.15,0.583,2.67,6.99,19961128
300349,金卡股份,电器仪表,浙江,36.17,4500,18000,113211,78985.17,15134.51,30568.56,1.7,0.588,4.66,6.08,20120817
300204,舒泰神,生物制药,北京,41.64,23575.42,24012,172687.81,138667.31,24108.78,73385.84,3.06,0.515,6.01,4.75,20110415
300096,易联众,软件服务,福建,165.81,29900.63,43000,80462.52,64127.13,10917.48,3419.65,0.08,0.054,1.53,7.74,20100728
300376,易事特,电气设备,广东,40.7,4478,17890,207726.2,171085.88,17178.95,12893.37,0.72,0.693,5.78,6.51,20140127
002103,广博股份,文教休闲,浙江,214.46,17095.44,21843.09,114295.57,64461,32261.1,22651.43,1.04,0.044,3.39,3.73,20070110
002735,王子新材,塑料,深圳,80.95,2000,8000,41200.78,32046.55,0,0,0,0.266,4.63,6.2,20141203
300411,金盾股份,专用机械,浙江,60.88,2000,8000,61085.01,44220.8,9244.75,8076.16,1.01,0.406,3.56,9.26,20141231
600148,长春一东,汽车配件,吉林,77.84,14151.63,14151.63,89276.15,68848.57,17442.42,8911.74,0.63,0.196,2.54,8.01,19980520
000977,浪潮信息,电脑设备,山东,84.73,43000,47986.28,561978.5,456339.25,17284.51,100556.85,2.1,0.41,4.58,9.89,20000608
300242,明家科技,元器件,广东,1091.61,4174.18,7500,32754.53,21896.13,6802.77,15011.79,2,0.024,3.4,10.3,20110712
002107,沃华医药,中成药,山东,169.82,7511.04,16398,66863.85,43529.78,18040.64,33050.75,2.02,0.223,3.85,9.82,20070124
002738,中矿资源,建筑施工,北京,94.05,3000,12000,68222.35,38104.3,17882.75,6955.86,0.58,0.273,4.61,7.43,20141230
002095,生 意 宝,互联网,浙江,230.91,20914.5,21060,57939.86,46168.71,6821.57,3280.26,0.16,0.139,2.3,18.7,20061215
300052,中青宝,互联网,深圳,179.95,26000,26000,159017.11,46606.53,4211.73,58596.51,2.25,0.107,3.77,6.83,20100211
603606,东方电缆,电气设备,浙江,65.49,3135,14135,169785.84,133272.59,30663.1,23338.75,1.65,0.35,5.27,4.51,20141015
002516,江苏旷达,纺织,江苏,33.5,10889.78,25000,328283.16,168895.02,115364.86,96493.67,3.86,0.503,7.37,3.05,20101207
000627,天茂集团,化工原料,湖北,34.32,135358.98,135358.98,229727.55,67293.27,48471.98,1525.68,0.01,0.108,1.14,4.35,19961112
600716,凤凰股份,区域地产,江苏,112.27,74060.06,74060.06,823553.94,727853.44,1247.72,19022.11,0.26,0.063,2.72,3.45,19960702
600288,大恒科技,通信设备,北京,428.76,43680,43680,331742.94,226813.05,52610.93,16955.51,0.39,0.022,3.22,3.87,20001129
300032,金龙机电,元器件,浙江,343.21,26809.75,33797,153195.86,68144.46,58067.81,47688.53,1.41,0.054,2.98,8.29,20091225
002280,新世纪,软件服务,浙江,0,5785.6,28099.91,44700.05,28484.96,6370.58,24183.34,0.86,-0.003,3.57,12.9,20090821
300244,迪安诊断,医疗保健,浙江,94.03,13692.08,20558.91,90190.1,64111.19,10922.74,15320.42,0.75,0.432,3.13,17.34,20110719
000788,北大医药,化学制药,重庆,122.74,55877.44,59598.73,494700.94,275353.19,153779.06,19917.28,0.33,0.094,2,7.68,19970616
300392,腾信股份,互联网,北京,94.6,1600,6400,89383.59,88250.06,365.43,40180.34,6.28,0.935,11.5,10.26,20140910
002178,延华智能,建筑施工,上海,93.25,31137.69,37213.42,121402.36,97042.45,12251.48,24573.03,0.66,0.109,1.98,6.84,20071101
600990,四创电子,通信设备,安徽,220.46,13670.2,13670.2,231089.27,161606.91,14238.52,41637.9,3.05,0.204,6.32,9.49,20040510
300238,冠昊生物,医疗保健,广东,176.8,9010.91,12359.5,59024.28,26710.81,21104.28,23850.74,1.93,0.23,4.2,12.89,20110706
002363,隆基机械,汽车配件,山东,89.5,29880,29880,225945.3,120765.32,86352.95,71172.13,2.38,0.14,4.36,3.83,20100305
002279,久其软件,软件服务,北京,483.74,15107.2,17579.52,70592.78,32078.81,14280.65,27591.91,1.57,0.052,3.9,8.58,20090811
002589,瑞康医药,医药商业,山东,42.62,14516.21,21789.51,512874.56,457545.81,29123.98,102207.1,4.69,0.593,8.01,4.2,20110610
002349,精华制药,中成药,江苏,174.68,19737.91,26000,100595.71,44183.8,34233.76,27361.75,1.05,0.114,3.45,7.73,20100203
300114,中航电测,元器件,陕西,134.88,15600,20196.93,123877.02,72911.61,23276.86,49269.01,2.44,0.204,5.5,6.68,20100827
300399,京天利,互联网,北京,127.66,2000,8000,46813.85,42720.8,3930.6,19904.6,2.49,0.45,5.66,10.19,20141009
002462,嘉事堂,医药商业,北京,26.78,19567.08,24000,398749.41,332142.72,31976.4,35852.65,1.49,0.807,5.22,5.52,20100818
300199,翰宇药业,化学制药,深圳,84.36,19945.86,40000,158012.7,97423.17,34681.98,41727.17,1.04,0.263,3.08,9.62,20110407
300010,立思辰,软件服务,北京,199.88,17471.02,29329.32,183493.22,93666.05,11849.94,73941.06,2.52,0.1,4.28,5.89,20091030
600262,北方股份,工程机械,内蒙,46.5,17000,17000,325257.28,251478.13,46145.1,39931.05,2.35,0.338,6.61,3.17,20000630
000910,大亚科技,家居用品,江苏,40.2,52750,52750,850318.38,540987.69,200572.81,36195.03,0.69,0.154,4.86,1.7,19990630
300051,三五互联,互联网,福建,1049.14,20388.06,32100,73452.3,39047.35,6146.78,12572.7,0.39,0.008,1.54,7.44,20100211
600055,华润万东,医疗保健,北京,236.96,21645,21645,116734.95,71778.85,20824.57,11343.53,0.52,0.065,2.96,6.9,19970519
300279,和晶科技,元器件,江苏,131.95,7065.5,13315.15,72910.53,47520.03,9091.67,15116.49,1.14,0.138,3.08,7.85,20111229
600279,重庆港九,港口,重庆,64.1,34209.23,46197.23,509143.44,117108.8,312381.13,135665.72,2.94,0.159,6.3,2.16,20000731
002084,海鸥卫浴,家居用品,广东,128.52,37005.57,40605.57,167482.63,103398.02,49464.07,2721.71,0.07,0.064,1.93,5.69,20061124
300405,科隆精化,化工原料,辽宁,60.23,1700,6800,114510.01,80310.75,20523.82,4265.5,0.63,0.579,7.36,6.31,20141030
601216,内蒙君正,化工原料,内蒙,32.58,204800,204800,1164571,284011.28,625034.56,171816,0.84,0.292,3.11,4.08,20110222
603088,宁波精达,专用机械,浙江,79.44,2000,8000,50349.15,26165.65,15782.72,11921.35,1.49,0.309,5.03,6.51,20141111
002493,荣盛石化,化纤,浙江,964.86,101907.5,111200,3347877,1495199,1000104.13,244227.66,2.2,0.011,6.23,2.24,20101102
002086,东方海洋,渔业,山东,64.4,23780.85,24385,261155.47,117893.3,129070.4,68334.71,2.8,0.154,5.74,2.3,20061128
600297,美罗药业,化学制药,辽宁,119.85,35000,35000,150441.16,26871.9,52347.55,30209.16,0.86,0.077,2.73,4.53,20001116
002356,浩宁达,电器仪表,深圳,353.44,8000,10349.15,238520.45,165273.31,9276.11,119147.05,11.51,0.09,13.79,3.09,20100209
600136,道博股份,商贸代理,湖北,23046.62,10429.4,10444.4,20162.95,5494.62,8369.58,181.75,0.02,0.001,1.28,12.7,19980303
002295,精艺股份,铜,广东,0,18136.33,21180,135893.44,97989.42,28841.68,36534.65,1.72,-0.149,3.82,2.53,20090929
300155,安居宝,元器件,广东,81.74,17752.5,36581.96,130183.46,102261.46,21722.32,55819.86,1.53,0.192,3.07,6.83,20110107
002488,金固股份,汽车配件,浙江,69.71,8706.5,20339.33,282920.75,140122.06,90740.68,56718.2,2.79,0.303,5.38,5.24,20101021
002040,南 京 港,港口,江苏,141.33,24587.19,24587.19,104853.92,8459.28,36507.05,19373.38,0.79,0.056,2.56,4.12,20050325
600071,凤凰光学,文教休闲,江西,0,23747.25,23747.25,110103.2,54756.2,40008.75,11017.86,0.46,-0.16,2.34,5.61,19970528
002373,千方科技,软件服务,北京,74.12,13483.91,50550.76,207330.38,160157.52,22891.28,-13611.75,-0.27,0.35,1.71,17.73,20100318
600149,廊坊发展,机械基件,河北,1257.85,38016,38016,30461.49,10787.2,4535.16,10594.8,0.28,0.011,0.71,25.27,19991014
600462,石岘纸业,造纸,吉林,821.95,53378,53378,43546.26,21741.75,19853.75,64306.44,1.2,0.006,0.6,10.5,20030903
300397,天和防务,通信设备,陕西,549.48,3000,12000,143910.95,130119.51,6418.1,64742.46,5.4,0.16,10.29,8.54,20140910
000400,许继电气,电气设备,河南,30.94,59433.28,100832.72,1000586.63,872852.38,103093.02,82034,0.81,0.588,5.12,4.73,19970418
600558,大西洋,钢加工,四川,129.14,26943.51,39893.55,267098.13,143643.11,48373.93,94705.06,2.37,0.13,4.41,3.3,20010227
600789,鲁抗医药,化学制药,山东,0,58157.55,58157.55,399533.22,193603.23,159933.5,68081.57,1.17,-0.135,2.49,3.47,19970226
000860,顺鑫农业,农业综合,北京,30.77,43852.5,57059,1628479,1148319.25,255003.8,279849.69,4.9,0.59,8.77,2.32,19981104
600754,锦江股份,酒店餐饮,上海,46.5,44724.07,80451.77,727340.06,105409.4,276407.5,228533.66,2.84,0.421,7.48,3.49,19961011
002292,奥飞动漫,影视音像,广东,56.01,32064,63194.01,406514.94,224637.02,26447.43,85305.13,1.35,0.47,3.82,8.95,20090910
600079,人福医药,化学制药,湖北,34.62,50592.05,52877.71,1109380.5,582797.94,196719,205445.17,3.89,0.62,8.72,3.28,19970606
300326,凯利泰,医疗保健,上海,92.22,5025,17607.28,122959.02,48948.25,12555.69,50898.1,2.89,0.27,5.07,5.75,20120613
300412,迦南科技,医疗保健,浙江,51.05,1340,5340,26351.95,15137.7,9265.8,1875.81,0.35,0.646,4.9,8.98,20141231
300298,三诺生物,医疗保健,湖南,35.9,6291.64,20006,114043.31,94401.02,9509.33,50825.15,2.54,0.733,5.36,6.54,20120319
300089,长城集团,陶瓷,广东,141.67,8650.71,15000,126200.65,62810.21,16567.32,48589.43,3.24,0.06,5.28,2.46,20100625
002400,省广股份,广告包装,广东,48.51,53154.85,59539.08,329577.69,274917.97,2867.73,11142.28,0.19,0.424,2.66,10.32,20100506
600227,赤天化,农药化肥,贵州,0,95039.25,95039.25,763793.19,198793.16,466299.19,135327.34,1.42,-0.331,3.32,1.81,20000221
002575,群兴玩具,文教休闲,广东,126.81,25960,26760,99741.86,33474.73,38468.07,47483.73,1.77,0.081,3.4,4.02,20110422
002230,科大讯飞,软件服务,安徽,90.8,57848.67,80150.17,473419.44,257822.09,52202.39,192503.23,2.4,0.247,4.38,6.83,20080512
002618,丹邦科技,元器件,深圳,67.72,18264,18264,209210.63,102296.06,77641.4,107726.96,5.9,0.311,8.54,3.28,20110920
300049,福瑞股份,中成药,内蒙,91.57,10883.04,12983.2,119353.05,54251.23,9691.57,50250.19,3.87,0.34,6.21,6.43,20100120
300109,新开源,化工原料,河南,109.74,8041.25,11520,44841.07,13402.87,26004.27,18401.89,1.6,0.203,3.42,8.7,20100825
600661,新南洋,文教休闲,上海,109.06,17367.67,25907.65,153310.47,71601.05,31907.97,21563.9,0.83,0.168,2.03,12.01,19930614
