code,name,industry,area,pe,outstanding,totals,totalAssets,liquidAssets,fixedAssets,reserved,reservedPerShare,esp,bvps,pb,timeToMarket
000420,吉林化纤,化纤,吉林,252.84,31830.68,71660.34,330859.44,102833.24,156800.73,97236.21,1.36,0.05,1.38,5.22,19960802
000584,友利控股,化纤,江苏,25.73,61061.92,61332.42,349083.94,220915.47,102994.18,67523.72,1.1,0.266,3.1,2.21,19951128
000615,湖北金环,化纤,湖北,161.42,21167.25,21167.73,134608.27,54256.19,25569.31,6719.11,0.32,0.074,3.05,5.22,19961016
000677,*ST海龙,化纤,山东,0.266,86388.99,86397.79,300659.06,79021.38,181373.48,69884.02,0.81,-0.104,0.14,45.96,19961226
000687,恒天天鹅,化纤,河北,284.17,47609.73,75736.84,254434.72,109517.38,120877.36,75689.96,1,0.019,1.83,2.95,19970221
000703,恒逸石化,化纤,广西,78.56,115358.77,115358.77,2649582,1185506.75,1026108.38,4067.18,0.04,0.045,4.4,3.18,19970328
000782,美达股份,化纤,广东,0,40450.87,52813.96,254337.22,130059.45,75766.96,63823.15,1.21,-0.52,2.35,6.59,19970619
000936,华西股份,化纤,江苏,131.65,74768.59,74801.28,347817.28,150881.72,41996.5,4886,0.07,0.075,2.95,3.36,19990810
000949,新乡化纤,化纤,河南,79.62,82851.96,102724.13,446852.94,158648.38,213701.52,95014.5,0.92,0.1,2.34,3,19991021
000976,*ST春晖,化纤,广东,0,58655.89,58664.28,68876.75,27199.01,35862.45,35867.94,0.61,-0.361,0.38,24.83,20000601
002015,*ST霞客,化纤,江苏,0,21935.06,23994.24,164606.56,58028.51,81820.05,30363.47,1.27,-1.87,-0.23,-36.73,20040708
002064,华峰氨纶,化纤,浙江,34.62,66669.71,83840,443268.41,192256.16,93567.46,81616.8,0.97,0.53,3.75,4.53,20060823
002080,中材科技,化纤,江苏,60.21,40000,40000,805526,490335.06,221224.45,139469.23,3.49,0.38,6.31,3.63,20061120
002172,澳洋科技,化纤,江苏,0,53754.96,55934.89,239184.45,68248.03,150776.19,46645.12,0.83,-0.186,0.93,12.34,20070921
002206,海 利 得,化纤,浙江,41.84,34288.98,44977.05,333776,152688.59,110142.56,102910.22,2.29,0.319,4.55,2.93,20080123
002254,泰和新材,化纤,山东,54.83,50882.21,50902.8,239037.16,111499.35,106892.71,33240.37,0.65,0.248,3.63,5.01,20080625
002427,尤夫股份,化纤,浙江,41.91,23818.46,23819.58,253175.8,114783.05,118536.95,55272.23,2.32,0.398,4.51,3.7,20100608
002493,荣盛石化,化纤,浙江,1637.37,101907.5,111200,3347877,1495199,1000104.13,244227.66,2.2,0.011,6.23,3.8,20101102
300180,华峰超纤,化纤,上海,44.73,11996.3,15800,185157.3,73992.86,68955.11,77735.15,4.92,0.212,9.19,4.13,20110222
600061,中纺投资,化纤,上海,17055.34,42908.28,369415.16,174072,139287.56,25271.25,3087.91,0.01,0.01,1.44,19.83,19970519
600063,皖维高新,化纤,安徽,66.81,149785.31,149785.31,729236.81,137862.52,354708.03,40327.19,0.27,0.12,2.46,3.26,19970528
600527,江南高纤,化纤,江苏,46.4,80208.93,80208.93,197154.02,95542.75,36852.12,12950.61,0.16,0.115,2.27,3.13,20031127
600810,神马股份,化纤,河南,57.15,44228,44228,740969.94,364110.75,199513.42,183439.27,4.15,0.148,5.33,2.11,19940106
600889,南京化纤,化纤,江苏,883.84,30706.92,30706.92,292616.38,127468.36,132434.56,21560.96,0.7,0.018,3.04,5.17,19960308
601113,华鼎股份,化纤,浙江,0,64000,64000,375680.25,170651.88,121354.35,71632.65,1.12,-0.116,2.59,4.56,20110509
601233,桐昆股份,化纤,浙江,135.09,95927.07,96360,1375696.5,436774.44,860873.81,279531.53,2.9,0.116,7.09,2.21,20110518
000488,晨鸣纸业,造纸,山东,32.92,110503.72,193640.55,5682202.5,2357017.5,2474473.25,614913.69,3.18,0.261,7.19,1.2,20001120
000815,*ST美利,造纸,宁夏,0,31677.99,31680,150592.81,72062.03,56380.3,35512.9,1.12,-2.049,-0.53,-30.68,19980609
000820,金城股份,造纸,辽宁,3675.73,22087.72,28783.48,69970.96,25323.65,29262.05,45255.5,1.57,0.003,0.79,18.98,19980630
000833,贵糖股份,造纸,广西,129.7,29606.53,29606.78,124035.1,64774.25,44990.31,22347.14,0.75,0.095,2.87,4.3,19981111
002012,凯恩股份,造纸,浙江,114.47,46762.55,46762.55,158580.77,75276.05,68411.35,27222.8,0.58,0.087,2.48,4,20040705
002067,景兴纸业,造纸,浙江,756.98,96052.6,109395.1,567001.69,228493.02,217211.41,155707.02,1.42,0.006,2.67,2.14,20060915
002078,太阳纸业,造纸,山东,39.7,197669.13,253663.53,1641573.25,554521,750387.13,44836.78,0.18,0.124,2.29,2.86,20061116
002235,安妮股份,造纸,福建,1637.01,12751.45,19500,71939.99,34715.64,28501.24,16990.99,0.87,0.011,2.29,10.3,20080516
002303,美盈森,造纸,深圳,84.35,36014.83,71520,283408.22,163512.05,75371.92,51679.78,0.72,0.255,2.96,9.68,20091103
002511,中顺洁柔,造纸,广东,81.24,40451.92,40560,455000.09,197638.47,219239.47,135547.73,3.34,0.166,5.79,2.33,20101125
002521,齐峰新材,造纸,山东,23.1,32735,42046.55,402757.38,280102.03,96250.02,139078.25,3.31,0.649,6.1,2.46,20101210
002565,上海绿新,造纸,上海,38.33,68688.29,69668,346352.34,180800.31,73341.78,68975.65,0.99,0.21,2.77,3.87,20110318
600069,*ST银鸽,造纸,河南,0,82537.4,82537.4,556378.88,175183.77,230497.27,76961.49,0.93,-0.844,1.07,5.53,19970430
600103,青山纸业,造纸,福建,232.56,106184.15,106184.15,337839.22,166874.22,142977.92,745.9,0.01,0.026,1.17,5.11,19970703
600163,*ST南纸,造纸,福建,0,72141.99,72141.99,222309.45,69558.28,131877.2,117267.36,1.63,-0.778,0.14,57.36,19980602
600235,民丰特纸,造纸,浙江,916.3,35130,35130,237637.8,99952.17,102028.86,82903.24,2.36,0.012,4.01,2.77,20000615
600308,华泰股份,造纸,山东,79.05,116756.14,116756.14,1718533.75,605614.63,870974.63,224376.7,1.92,0.057,5.4,1.12,20000928
600356,恒丰纸业,造纸,黑龙江,48.17,27011.36,27011.36,273460.5,135855.56,104839.36,68993.42,2.55,0.171,6.17,1.78,20010419
600433,冠豪高新,造纸,广东,182.71,119028,127131.54,352359.84,101485.25,92055.49,9415.28,0.07,0.11,1.47,12.29,20030619
600462,石岘纸业,造纸,吉林,1264.13,53378,53378,43546.26,21741.75,19853.75,64306.44,1.2,0.006,0.6,16.14,20030903
600567,山鹰纸业,造纸,安徽,76.6,217622.31,376693.97,1853042,688871.06,685657.31,311981.41,0.83,0.046,1.6,2.94,20011218
600793,ST宜纸,造纸,四川,0,10530,10530,270995.41,80428.43,608.47,10537.1,1,-0.067,0.25,70.07,19970220
600963,岳阳林纸,造纸,湖南,607.7,84315.9,104315.9,1660804.63,741291.69,843635.38,382894.5,3.67,0.013,5.16,1.5,20040525
600966,博汇纸业,造纸,山东,162.94,66842.21,66842.21,1281508.63,573922.19,657506.81,198345.5,2.97,0.08,5.81,1.88,20040608
000511,烯碳新材,矿物制品,辽宁,380.15,115482.22,115483.2,334435.75,207329.02,564.47,3257,0.03,0.024,1.48,8.18,19930518
000795,太原刚玉,矿物制品,山西,363.07,27679.44,34292.62,182520.75,134589,29325.11,88193.67,2.57,0.036,2.26,5.74,19970808
002088,鲁阳股份,矿物制品,山东,55.35,20144.38,23397.86,199110.59,105177.7,69821.13,53795.51,2.3,0.22,6.59,2.46,20061130
002297,博云新材,矿物制品,湖南,2075.14,36326.16,39882.1,176248.31,89620.88,45254.35,64570.75,1.62,0.008,2.84,7.95,20090929
300064,豫金刚石,矿物制品,河南,141.08,60575,60800,280027.53,107707.17,128059.1,37338.19,0.61,0.082,2.38,6.46,20100326
300073,当升科技,矿物制品,北京,0,15869.65,16000,101812.71,55743.4,31305.3,58978.16,3.69,-0.16,5.11,4.9,20100427
300179,四方达,矿物制品,河南,150.08,29860.56,47520,84911.25,60669.21,15843.5,31349.9,0.66,0.079,1.51,7.85,20110215
600172,黄河旋风,矿物制品,河南,37.58,49667.83,69503.17,496840.25,150654.56,245736.47,75060.43,1.08,0.42,4.52,2.67,19981126
600516,方大炭素,矿物制品,甘肃,49.57,171916.03,171916.03,980122.81,667010.19,167991.13,167258.63,0.97,0.197,3.38,3.86,20020830
600783,鲁信创投,矿物制品,山东,70.47,74435.92,74435.92,516294.94,74314.21,10190.36,114178.15,1.53,0.429,4.62,8.71,19961225
603688,石英股份,矿物制品,江苏,83.73,5595,22380,125449.02,84742.7,31267.84,56206.86,2.51,0.37,5.26,4.6,20141031
000523,广州浪奇,日用化工,广东,318.23,44496.26,44516.35,298161.06,209561.42,45057.45,44402.9,1,0.011,2.41,5.69,19931108
000662,索芙特,日用化工,广西,0,28798.58,28798.91,76384,43485.12,23394.96,26786.8,0.93,-0.001,1.99,11.74,19961216
000737,南风化工,日用化工,山西,120.69,54872.71,54876,305540.66,163964.7,103622.96,62494.98,1.14,0.059,0.67,10.54,19970428
002094,青岛金王,日用化工,山东,96.36,32184.16,32191.66,130374.65,85299.25,17768.03,1582.7,0.05,0.148,1.96,9.67,20061215
002637,赞宇科技,日用化工,浙江,55.42,10871.45,16000,176658.5,94090.56,60799.2,62695.82,3.92,0.341,6.62,2.86,20111125
600249,两面针,日用化工,广西,278.65,45000,55000,410896.72,133172.17,113052.97,50747.03,0.92,0.05,4.81,2.31,20040130
600315,上海家化,日用化工,上海,35.77,66086.46,67236.67,553363.38,426322.56,21558.1,114443.55,1.7,1.335,5.66,8.44,20010315
600599,熊猫金控,日用化工,湖南,487.2,12600,16600,90257.78,69930.03,5754.25,50607.8,3.05,0.075,4.19,8.76,20010828
000016,深康佳Ａ,家用电器,深圳,341.81,59991.5,120397.27,1677935.75,1287031.38,178369.56,128940.36,1.07,0.044,3.41,4.38,19920327
000100,TCL 集团,家用电器,广东,25.53,817744.38,1220272.38,9287689,5548030,2025118.25,255246.63,0.21,0.35,1.92,3.46,20040130
000333,美的集团,家用电器,广东,14.85,224273.59,421580.84,12029209,8642707,1952181.38,1302488.38,3.09,2.491,9.36,3.95,19931112
000418,小天鹅Ａ,家用电器,江苏,19.01,43776.5,63248.78,1137679.38,979483.88,106582.1,113995.63,1.8,1.104,7,3,19970328
000521,美菱电器,家用电器,安徽,28.83,59088.12,76373.92,994629.19,781517.75,119934.96,146579.63,1.92,0.072,4.55,1.82,19931018
000533,万 家 乐,家用电器,广东,44.93,68487.71,69081.6,373719.16,278060.53,15069.37,5828.1,0.08,0.127,1.81,4.2,19940103
000541,佛山照明,家用电器,广东,34.77,74995,97856.38,370021.66,233048.45,44070.4,58987.65,0.6,0.307,3.1,4.59,19931123
000651,格力电器,家用电器,广东,11.29,298621.16,300786.53,15950387,12636492,1446251.75,315139.78,1.05,3.267,13.24,3.71,19961118
000921,海信科龙,家用电器,广东,22.3,89819.53,135849.56,1326679.38,804111.69,293203.91,212593.05,1.56,0.495,2.55,4.34,19990713
002005,德豪润达,家用电器,广东,159.35,116470.65,139640,1301130.75,495673.25,403807.5,340852.03,2.44,0.05,4.01,2.67,20040625
002032,苏 泊 尔,家用电器,浙江,23.36,33956.62,63385.33,663364.5,526350.63,95619.22,54428.65,0.86,1.088,5.98,4.26,20040817
002035,华帝股份,家用电器,广东,41.42,29611.26,35886.12,259462.45,154709.47,60849.65,37049.8,1.03,0.102,4.18,4.04,20040901
002076,雪 莱 特,家用电器,广东,226.87,12042,24051.32,61154.76,38605.5,14017.4,5548.83,0.23,0.09,2.24,7.28,20061025
002242,九阳股份,家用电器,山东,22.86,76095,76788.5,496575.56,353139.5,80736.75,92965.85,1.21,0.7,4.03,3.92,20080528
002260,伊 立 浦,家用电器,广东,325.1,26520,26520,68813.32,39962.87,10886.49,11902.96,0.45,0.125,1.32,30.66,20080716
002290,禾盛新材,家用电器,江苏,79.27,13391.49,21067.19,154720.23,101777.9,18798.36,44511,2.11,0.143,4.71,3.21,20090903
002403,爱仕达,家用电器,浙江,51.01,22238.25,24000,270682.22,165926.75,44064.05,105269.07,4.39,0.339,6.92,2.5,20100511
002429,兆驰股份,家用电器,深圳,43.32,158388.84,160205.52,750764.38,509041.69,33778.57,48916.32,0.31,0.073,2.87,4.4,20100610
002473,圣莱达,家用电器,浙江,0,16000,16000,44313.55,23706.17,13780.59,22195.42,1.39,-0.06,2.43,12.23,20100910
002508,老板电器,家用电器,浙江,28.74,31437.5,32405,362583.25,299834.16,31672.39,90530.77,2.79,1.8,7.76,6.57,20101123
002543,万和电气,家用电器,广东,26.02,31872.5,44000,374951.91,254171.41,68889.49,124848,2.84,0.515,6.02,2.97,20110128
002668,奥马电器,家用电器,广东,39.14,16535,16535,336432.19,236062.8,65837.46,45101.35,2.73,0.174,9.34,2.91,20120416
002677,浙江美大,家用电器,浙江,48.82,5000,20000,113117.2,74196.49,19722.01,47237.01,2.36,0.689,4.94,6.81,20120525
002681,奋达科技,家用电器,深圳,146.76,7500,34312.1,140235.25,110999.42,16620.4,29177.18,0.85,0.317,3.52,17.63,20120605
002705,新宝股份,家用电器,广东,39.47,10937.83,44200.12,471934.81,315478.81,117471.42,71056.63,1.61,0.36,4.8,3.82,20140121
002723,金莱特,家用电器,广东,74.4,3065,9335,72668.3,23342.6,25958.1,27038.4,2.9,0.36,6.56,5.32,20140129
600060,海信电器,家用电器,山东,25.61,130848.13,130848.13,2003178,1748776.25,144485.69,225874.34,1.73,0.703,7.9,3.04,19970422
600261,阳光照明,家用电器,浙江,42.78,96806.85,96806.85,444366.31,312036.59,91872.34,75052.65,0.78,0.298,2.78,4.58,20000720
600336,澳柯玛,家用电器,山东,85.13,68007.2,68207.2,300683.16,158321.45,61113.26,50062.37,0.73,0.105,1.45,6.14,20001229
600690,青岛海尔,家用电器,山东,17.54,273684.13,304612.5,7500645.5,5947451.5,697069.75,354187.25,1.16,1.74,7.17,4.01,19931119
600839,四川长虹,家用电器,四川,575.68,460999.78,461624.44,6022460.5,4849521,578565.25,387033.03,0.84,0.013,3.04,2.41,19940311
600854,春兰股份,家用电器,江苏,257.59,51945.85,51945.85,251056.13,122334.51,42027.73,153354.7,2.95,0.024,3.68,2.21,19940425
600870,厦华电子,家用电器,福建,0,37081.87,52319.96,9307.33,5361.08,21.58,227980.41,4.36,-0.434,0.01,882.93,19950228
600983,惠而浦,家用电器,安徽,28.92,53280,76643.89,519546.59,417007.47,62689.38,1674.68,0.02,0.57,4.1,3.72,20040727
603366,日出东方,家用电器,江苏,76.3,14140,40000,441372.69,306939.03,46355.06,231865.8,5.8,0.081,8.89,2.77,20120521
603519,立霸股份,家用电器,江苏,52.53,2000,8000,60834.36,0,0,0,0,0.685,6.36,5.66,20150319
